station_name,city,zip,latitude,longitude,ev_connector_types
Seattle-Tacoma International Airport - General Parking,Seattle,98188,47.443377,-122.296229,['J1772']
Avista Corp,Spokane,99252,47.673347,-117.388933,"['J1772', 'NEMA520']"
Steam Plant Parking,Spokane,99201,47.65579218,-117.4236637,['J1772']
BELLEVUE BELLEVUE CH 1,Bellevue,98004,47.614744,-122.193162,['J1772']
KING COUNTY DES ISSAQUAH P&R 2,Issaquah,98027,47.545324,-122.0195,['J1772']
King County - King County Van Distribution Center,Redmond,98052,47.675897,-122.091237,['J1772']
UWB CASCADIA CC NORTH LEVEL 3 N,Bothell,98011,47.761878,-122.191915,['J1772']
CITY OF REDMOND CITY HALL DUAL,Redmond,98052,47.679224,-122.12995,['J1772']
CITY OF REDMOND MOC #1 PUBLIC,Redmond,98052,47.672359,-122.099034,['J1772']
WILLOWS LODGE WILLOWS #2,Woodinville,98072,47.734211,-122.147041,['J1772']
Rairdon's Nissan - Auburn,Auburn,98002,47.33876,-122.22087,"['CHADEMO', 'J1772', 'J1772COMBO']"
Burien Nissan,Burien,98148,47.458152,-122.333513,"['CHADEMO', 'J1772']"
Olympia Nissan,Olympia,98502,47.030919,-122.930155,"['CHADEMO', 'J1772', 'J1772COMBO']"
Tacoma Nissan,Tacoma,98409,47.21973,-122.485672,"['CHADEMO', 'J1772', 'J1772COMBO']"
O'Brien Nissan,Walla Walla,99362,46.047279,-118.353882,['J1772']
KEY CENTER KEY CENTER 6,Bellevue,98004,47.616104,-122.19696,['J1772']
KRC SKYLINE SKYLINE #1,Bellevue,98004,47.61434,-122.194037,['J1772']
Caplan's Rainbow Parking,Seattle,98104,47.604115,-122.332907,['J1772']
CITY OF SEATAC CITY HALL 1,SeaTac,98188,47.434029,-122.273288,['J1772']
Puget Sound Energy,Tacoma,98409,47.22213,-122.478493,['J1772']
City of Tacoma - Municipal Building,Tacoma,98402,47.255854,-122.44172,['J1772']
BELLEVUE SBCC #2,Bellevue,98006,47.568886,-122.145268,['J1772']
VALLEY MED CTR MAIN LOT #5,Renton,98055,47.443255,-122.212445,['J1772']
City of Renton - City Shops,Renton,98056,47.483635,-122.170748,['J1772']
Campbell Nissan - Everett,Everett,98204,47.90272981640562,-122.2469883724914,['J1772']
